pk;fk_glacier;fk_mass_balance_glacier_type;date_annual_from;date_annual_to;date_winter_start;date_winter_end;winter_mass_balance;annual_mass_balance;equilibrium_line_altitude;accumulation_area_ratio
e0ec8770-d63b-4c46-be4e-8299c4f2c81d;65;1;2009-10-01;2010-09-30;2009-10-01;2010-09-30;1184;-869;2795;4
58fb3362-afab-4593-a19c-400bf66ff295;65;1;2010-10-01;2011-09-30;2010-10-01;2011-09-30;852;-2099;2915;0
bfe8be9f-f878-4134-abc2-62636d93ea2f;65;1;2011-10-01;2012-09-30;2011-10-01;2012-09-30;1319;-1197;2835;1
61ebb5f3-8505-4e15-b861-4729836231f5;65;1;2012-10-01;2013-09-30;2012-10-01;2013-09-30;1482;-902;2805;3
c901c63d-4d68-4b59-b516-4dfe50329e61;65;1;2013-10-01;2014-09-30;2013-10-01;2014-09-30;1005;-1038;2815;1
80b31d1f-e490-45a1-a47a-08a7ba783657;65;1;2014-10-01;2015-09-30;2014-10-01;2015-09-30;957;-2307;2935;0
a59d43a1-4874-4fd4-8364-7679f90ce34b;65;1;2015-10-01;2016-09-30;2015-10-01;2016-09-30;1677;-221;2765;16
