pk;fk_glacier;fk_mass_balance_glacier_type;date_annual_from;date_annual_to;date_winter_start;date_winter_end;winter_mass_balance;annual_mass_balance;equilibrium_line_altitude;accumulation_area_ratio
1e802bd8-6457-4486-afef-851c38de7e0b;5;1;1983-10-01;1984-09-30;1983-10-01;1984-09-30;517;180;2855;69
3b890d82-6671-422b-9b52-517dc85252f3;5;1;1984-10-01;1985-09-30;1984-10-01;1985-09-30;433;-318;3005;60
d3bc94d7-315e-441b-a4e7-591fe307150a;5;1;1985-10-01;1986-09-30;1985-10-01;1986-09-30;1004;-814;3105;53
f9989fe6-f83f-4989-891f-988ac3a88786;5;1;1986-10-01;1987-09-30;1986-10-01;1987-09-30;769;-194;2955;63
e2bbc48e-b82c-486b-9e53-21e0fee980f2;5;1;1987-10-01;1988-09-30;1987-10-01;1988-09-30;786;-791;3115;52
e95b256d-529c-4afe-9ad6-1eb6056e4956;5;1;1988-10-01;1989-09-30;1988-10-01;1989-09-30;850;-680;3005;59
7645adf0-4099-42fb-a2cd-f7a3a93d8313;5;1;1989-10-01;1990-09-30;1989-10-01;1990-09-30;546;-941;3115;52
9edc3d18-f8a5-4de4-acff-a4a615d114e5;5;1;1990-10-01;1991-09-30;1990-10-01;1991-09-30;594;-1106;3205;44
88a94ff9-160b-49b3-9b91-eeae88db97f1;5;1;1991-10-01;1992-09-30;1991-10-01;1992-09-30;449;-1511;3215;44
db34d8cd-9b99-4ed6-9c0a-4a3952d2b3f7;5;1;1992-10-01;1993-09-30;1992-10-01;1993-09-30;876;-93;2905;66
c54c3485-8a08-40e1-ad70-faf9a3c7d0d9;5;1;1993-10-01;1994-09-30;1993-10-01;1994-09-30;1048;-271;2955;63
f4e8cfbf-b2e9-45b0-9658-637db4200de0;5;1;1994-10-01;1995-09-30;1994-10-01;1995-09-30;1277;-24;2915;66
4aef922e-3c6e-4bb2-9137-56ae3def46ab;5;1;1995-10-01;1996-09-30;1995-10-01;1996-09-30;335;-448;3005;59
38d599c4-0ad2-45c8-a980-d84a1db393f9;5;1;1996-10-01;1997-09-30;1996-10-01;1997-09-30;838;-520;3005;59
45314c13-9f0d-404e-8f2b-7df1b86c4ec5;5;1;1997-10-01;1998-09-30;1997-10-01;1998-09-30;653;-1226;3215;44
8e16f9ea-3b92-4b4a-8ba9-e824748a78ba;5;1;1998-10-01;1999-09-30;1998-10-01;1999-09-30;911;-502;3055;56
