pk;fk_glacier;fk_mass_balance_glacier_type;date_annual_from;date_annual_to;date_winter_start;date_winter_end;winter_mass_balance;annual_mass_balance;equilibrium_line_altitude;accumulation_area_ratio
0ba78494-a2a5-4d4d-9315-1edcde03fe98;11;1;1999-10-01;2000-09-30;1999-10-01;2000-09-30;834;-64;3265;59
e3210ba2-68a4-427f-92a7-202c30d83384;11;1;2000-10-01;2001-09-30;2000-10-01;2001-09-30;800;411;3105;77
613ae734-a0f7-4deb-8b57-c4d48d05200a;11;1;2001-10-01;2002-09-30;2001-10-01;2002-09-30;933;348;3145;74
3bd1fb80-887a-4e6e-9af7-bae0c6c2fc7c;11;1;2002-10-01;2003-09-30;2002-10-01;2003-09-30;1060;-1244;3565;26
d29654d4-0c31-4cfd-bc64-b6cac91f3308;11;1;2003-10-01;2004-09-30;2003-10-01;2004-09-30;496;-724;3515;30
a11df434-47d2-4b9c-b84e-55da8989a8fd;11;1;2004-10-01;2005-09-30;2004-10-01;2005-09-30;828;-761;3415;40
85fc762b-a6c7-4d65-8dbe-e94d836f51b9;11;1;2005-10-01;2006-09-30;2005-10-01;2006-09-30;704;-906;3505;31
35e2fd84-9eab-41f4-82a1-86a9c61b5972;11;1;2006-10-01;2007-09-30;2006-10-01;2007-09-30;871;299;3205;70
40f46bbe-7ab8-4e5e-a28c-5baa226b1190;11;1;2007-10-01;2008-09-30;2007-10-01;2008-09-30;672;-730;3445;38
44a5f446-f1d0-4eb1-8b54-2290a906a033;11;1;2008-10-01;2009-09-30;2008-10-01;2009-09-30;1292;-138;3315;53
24fe7737-643e-4ede-9625-9ea6aeb8722a;11;1;2009-10-01;2010-09-30;2009-10-01;2010-09-30;935;-757;3625;22
b160d2ec-24f8-4644-8edb-b4fcbb9f13af;11;1;2010-10-01;2011-09-30;2010-10-01;2011-09-30;363;-1026;3735;13
89f96b3a-b553-41d8-80c0-44eecf5fef5f;11;1;2011-10-01;2012-09-30;2011-10-01;2012-09-30;1054;-1086;3665;19
2078736e-a87e-4ec2-9275-e3bb2332c6f0;11;1;2012-10-01;2013-09-30;2012-10-01;2013-09-30;1349;237;3175;73
689f3f2d-2e17-4c2e-91cf-718efad91304;11;1;2013-10-01;2014-09-30;2013-10-01;2014-09-30;1179;211;3205;72
5dbf846f-12b7-49e6-9815-27df2d5885ae;11;1;2014-10-01;2015-09-30;2014-10-01;2015-09-30;1002;-571;3425;42
bc2c4f1f-51af-46f9-b948-d43eeb2b8487;11;1;2015-10-01;2016-09-30;2015-10-01;2016-09-30;853;-845;3855;8
