pk;fk_glacier;fk_mass_balance_glacier_type;date_annual_from;date_annual_to;date_winter_start;date_winter_end;winter_mass_balance;annual_mass_balance;equilibrium_line_altitude;accumulation_area_ratio
ce24f019-0096-485e-b989-584b5e90ae26;116;1;1954-10-01;1955-09-30;1954-10-01;1955-09-30;1104;-655;2802;31
713c6ec8-5475-4f96-b3f0-1a048e399d3c;116;1;1955-10-01;1956-09-30;1955-10-01;1956-09-30;1395;-614;2762;37
967faaa0-dc0d-4e1e-aec5-a6f6d459419e;116;1;1956-10-01;1957-09-30;1956-10-01;1957-09-30;967;-812;2752;36
635cf00c-57b0-47a1-b1cc-f3511f5cd65d;116;1;1957-10-01;1958-09-30;1957-10-01;1958-09-30;1563;-314;2627;48
5606adce-4328-4277-8d39-8234054c355e;116;1;1958-10-01;1959-09-30;1958-10-01;1959-09-30;1561;-838;2772;34
5bb1f6ab-a998-4087-b2b4-2aa2d84b27ed;116;1;1959-10-01;1960-09-30;1959-10-01;1960-09-30;1723;-65;2572;56
