pk;fk_glacier;fk_mass_balance_glacier_type;date_annual_from;date_annual_to;date_winter_start;date_winter_end;winter_mass_balance;annual_mass_balance;equilibrium_line_altitude;accumulation_area_ratio
ca037211-9371-4d50-bec3-beb20f44fcfe;90;1;1962-10-01;1963-09-30;1962-10-01;1963-09-30;867;-1042;3007;5
23649fbf-18f1-454f-9b84-49f63614614b;90;1;1963-10-01;1964-09-30;1963-10-01;1964-09-30;973;-1375;3084;0
d31b7280-17cf-495f-b214-157c5806a29f;90;1;1964-10-01;1965-09-30;1964-10-01;1965-09-30;1323;1280;2482;98
03eb181c-538b-4970-b79e-4fcc15f27aa4;90;1;1965-10-01;1966-09-30;1965-10-01;1966-09-30;1338;1278;2527;96
5e79d631-6c02-4d45-85b7-e755f0e2c3d9;90;1;1966-10-01;1967-09-30;1966-10-01;1967-09-30;1452;376;2662;74
ea3f9a47-f034-49fa-b057-2e15189dfa08;90;1;1967-10-01;1968-09-30;1967-10-01;1968-09-30;1311;631;2602;83
9a7f9057-2ef2-4a86-9a1f-10c89935a744;90;1;1968-10-01;1969-09-30;1968-10-01;1969-09-30;769;-175;2797;45
969f2514-144d-4722-9d4a-0fe82e8df10d;90;1;1969-10-01;1970-09-30;1969-10-01;1970-09-30;1286;145;2697;72
bbd2fba1-17a0-439f-9e8e-b9e3d3b2704c;90;1;1970-10-01;1971-09-30;1970-10-01;1971-09-30;944;-758;3027;9
50b091ba-42e2-43e2-ae76-2a308e6cd407;90;1;1971-10-01;1972-09-30;1971-10-01;1972-09-30;424;-259;2912;36
f2dd1cb8-3e85-45ef-80ec-6b54aa0f8f31;90;1;1972-10-01;1973-09-30;1972-10-01;1973-09-30;969;-1102;3022;6
132ad5e3-93f6-4a42-88dc-0ec9db61f331;90;1;1973-10-01;1974-09-30;1973-10-01;1974-09-30;1055;763;2557;95
984bff8b-ce2c-4325-b637-97196281cc91;90;1;1974-10-01;1975-09-30;1974-10-01;1975-09-30;1089;322;2612;82
9420bd65-cf77-46cf-94bc-8c0a489101ec;90;1;1975-10-01;1976-09-30;1975-10-01;1976-09-30;820;-218;2757;49
cb5b3d37-d7bf-4cd6-8d3d-54061f16c98b;90;1;1976-10-01;1977-09-30;1976-10-01;1977-09-30;1191;422;2677;75
d5a5c0e4-b7e9-419a-ad2f-c7b52c922c91;90;1;1977-10-01;1978-09-30;1977-10-01;1978-09-30;1137;887;2562;94
79948413-81cf-4205-8421-e528e749ae60;90;1;1978-10-01;1979-09-30;1978-10-01;1979-09-30;913;-149;2762;46
1931fced-4f30-4c06-a763-e320e3786ada;90;1;1979-10-01;1980-09-30;1979-10-01;1980-09-30;1406;735;2567;93
b61872a0-939a-4a63-8da8-9919f395b075;90;1;1980-10-01;1981-09-30;1980-10-01;1981-09-30;1395;479;2657;77
f1a38c7e-b201-403d-ac77-63fe663e85ea;90;1;1981-10-01;1982-09-30;1981-10-01;1982-09-30;1276;-697;3042;10
75b38d4d-9871-4218-b3e5-8c50a5fe211d;90;1;1982-10-01;1983-09-30;1982-10-01;1983-09-30;1097;-487;2772;37
119f12aa-8157-459b-9c33-f0f5fd1c0064;90;1;1983-10-01;1984-09-30;1983-10-01;1984-09-30;1011;717;2647;83
498a9b25-756b-4854-b63a-b594fe0ab086;90;1;1984-10-01;1985-09-30;1984-10-01;1985-09-30;1041;207;2712;68
658c3e1d-96bb-4114-a374-1f886dad7016;90;1;1985-10-01;1986-09-30;1985-10-01;1986-09-30;1075;-367;2942;34
2fe742a0-41d7-4381-95b3-3abf7ea5e2a9;90;1;1986-10-01;1987-09-30;1986-10-01;1987-09-30;484;-944;3091;2
13035ae2-68c9-4fd7-8987-37be4bc379f2;90;1;1987-10-01;1988-09-30;1987-10-01;1988-09-30;1047;-413;2827;32
a6e09e87-8613-4371-aaaa-39f8015b6834;90;1;1988-10-01;1989-09-30;1988-10-01;1989-09-30;917;-393;2907;31
dee587ae-d36a-4975-9f6d-7a7e7b77634c;90;1;1989-10-01;1990-09-30;1989-10-01;1990-09-30;1121;-709;3047;19
2ddb2b34-406c-408a-a420-61d11b0f5e17;90;1;1990-10-01;1991-09-30;1990-10-01;1991-09-30;870;-1238;3037;6
d943432e-1c83-44ed-8f70-fbed1b2d986d;90;1;1991-10-01;1992-09-30;1991-10-01;1992-09-30;1883;-1144;2987;11
829bb552-1a9f-41b0-95df-d0b8a06bf97e;90;1;1992-10-01;1993-09-30;1992-10-01;1993-09-30;1781;-244;2817;43
8ff7af0b-8af7-4c95-9709-ae863ca0d7a2;90;1;1993-10-01;1994-09-30;1993-10-01;1994-09-30;1609;-708;2862;33
776b350a-6beb-496c-9c70-f9a6b52b6e72;90;1;1994-10-01;1995-09-30;1994-10-01;1995-09-30;1213;-129;2797;46
3777cb81-6d89-4dd9-86af-adb7b316f254;90;1;1995-10-01;1996-09-30;1995-10-01;1996-09-30;471;-143;2777;46
61a720dd-de1e-40cb-a2f6-62e95240008e;90;1;1996-10-01;1997-09-30;1996-10-01;1997-09-30;1500;-263;2792;43
a0ad7929-d599-4a83-aa1a-57ac3f62e387;90;1;1997-10-01;1998-09-30;1997-10-01;1998-09-30;607;-1591;3076;0
c23bb6e8-1503-4ec8-b7af-18c05ee34cd5;90;1;1998-10-01;1999-09-30;1998-10-01;1999-09-30;2073;-196;2782;45
1a51224a-18dd-4cd9-bb66-932c8ecca67d;90;1;1999-10-01;2000-09-30;1999-10-01;2000-09-30;1752;12;2727;63
74b8cb6b-e502-44f6-89b1-696628edfb89;90;1;2000-10-01;2001-09-30;2000-10-01;2001-09-30;1587;673;2682;71
0c51b958-88a0-40c2-9ca7-ed24d13a5a6e;90;1;2001-10-01;2002-09-30;2001-10-01;2002-09-30;1189;-298;2757;57
78ccefd8-e102-4474-97ea-2f78abbce990;90;1;2002-10-01;2003-09-30;2002-10-01;2003-09-30;1140;-2529;3073;0
f3726424-cd5d-4592-83be-e9ddc4b6e9d3;90;1;2003-10-01;2004-09-30;2003-10-01;2004-09-30;1396;-120;2757;53
ea00406e-7ea1-4299-a39e-d5904cc6f322;90;1;2004-10-01;2005-09-30;2004-10-01;2005-09-30;1101;-1050;2877;26
