pk;fk_glacier;picture_name;picture_date;photgraph_name_last;photgraph_name_first;mass_balance_title;length_change_title
0ad1ef0c-2853-47da-8b21-ac67b911494b;35;montdurand.jpg;2004-10-01;Chabloz;J.-J.;1;1
ef619469-1588-489b-af00-9eefb9a44bf9;32;montfort.jpg;2010-09-20;Vouillamoz;F.;1;1
65dbc771-fe37-4640-9d83-c4f8c5709334;26;montmine.jpg;2011-09-29;Pralong;F.;1;1
7cc00580-ec2b-45cd-8593-103c5e261db2;94;morteratsch.jpg;2007-10-16;Phillips;M.;1;1
b7f1e933-38c3-4af3-be2c-ffa90716b093;2;mutt.jpg;2004-10-02;Bauder;A.;1;1
3f9b5d46-7f6b-4f9f-af28-0da2e8d10ca7;50;oberaar.jpg;2005-08-09;Funk;M.;1;1
62ebd544-ae78-43a8-9f67-2dd050a3354a;6;oberaletsch.jpg;2000-05-27;LUFTBILD SCHWEIZ;NULL;1;1
eeb65264-7558-4abc-86fa-295700d195e6;57;obgrindelwald.jpg;2004-07-21;Funk;M.;1;1
910d67fb-9d12-4110-898b-57b578d29c41;108;orny.jpg;2008-08-29;Kappenberger;G.;1;1
5c4af61c-ab38-4fe3-9251-844ead0e9d54;34;otemma.jpg;2004-09-30;Chabloz;J.-J.;1;1
2ec4bd5c-f80c-4690-9b08-ea032402b675;100;palue.jpg;2008-09-28;Usselmann;S.;1;1
804d4c6b-a217-4102-b331-f198ce8a73ee;101;paradisino.jpg;1995-10-12;Godenzi;A.;1;1
7969a100-e954-4c34-959d-c4d1143c7283;81;pizol.jpg;2005-09-07;Hartmann;A.;1;1
ea3f3594-050a-4d4c-aacf-698923838bc5;114;plattalva.jpg;2009-09-24;Steinegger;U.;1;1
2f8cbc7e-0c4e-4512-90a9-414c014907c0;88;porchabella.jpg;2005-09-09;Barandun;Ch.;1;1
4a6a9513-1abd-4780-b698-9b496a8c4000;83;punteglias.jpg;2007-09-28;Frei;M.;1;1
2612725e-db0b-4208-abca-f0b7f1ca5731;65;raetzli.jpg;2003-09-18;von Grünigen;Ch.;1;1
8ce8bddf-3512-48fc-930c-63845aef28d3;1;rhone.jpg;2007-10-11;Bläsi;U.;1;1
433d1c39-76a2-422b-9cdc-e86b40a16657;17;ried.jpg;2004-07-24;Funk;M.;1;1
fd209a93-e623-4cf2-88f7-974a098379a1;92;roseg.jpg;2007-09-13;Bott;G.;1;1
44a53442-003c-444a-ba85-819efab08f25;56;rosenlaui.jpg;2004-07-21;Funk;M.;1;1
3f97d889-92ba-4fe9-926c-e7d72744302b;105;rossboden.jpg;2004-07-21;Funk;M.;1;1
5a5c4ffe-b7f0-4336-b01b-e74989e803fd;69;rotfirn.jpg;2010-09-20;Planzer;M.;1;1
677c1c51-c713-4b52-b800-e527db935683;67;sanktanna.jpg;2007-09-24;Bauder;A.;1;1
c33e0ad1-01ac-47fd-812f-038b03f1ef68;91;sardona.jpg;2004-09-06;Hartmann;A.;1;1
c84d2ff3-d184-413c-a8d6-081c226d10cf;115;scaletta.jpg;2004-09-02;Teufen;B.;1;1
0a69efd2-e496-446a-85bd-562ad8887024;62;schwarz.jpg;2005-09-29;Vogt;U.;1;1
2c0bc695-d1e9-4c10-afaf-6ed325786be6;10;schwarzberg.jpg;2004-07-21;Funk;M.;1;1
fe884173-70f6-40ee-a521-d8938a38668c;97;sesvenna.jpg;2003-10-19;Feuerstein;G. C.;1;1
0fa21bc0-3b46-444c-9ae0-4838fc59ec04;47;sexrouge.jpg;2001-08-27;Bauder;A.;1;1
ac7d05a6-20a6-4b0c-ad15-1e97a8add078;90;silvretta.jpg;2005-09-24;Huss;M.;1;1
0841e56d-60d2-43b4-b4de-92818477183c;53;stein.jpg;2006-09-21;Felber;A.;1;1
9e471af6-5a95-4ea7-aeb3-7c8f0e0746e5;54;steinlimmi.jpg;2006-09-21;Felber;A.;1;1
94568d44-9dbd-4cd3-89e5-697ddccca7dd;79;sulz.jpg;2004-10-01;Rageth;Th.;1;1
ebc4e92d-d297-47f0-bc5f-fb5d4779c013;87;suretta.jpg;2005-09-21;Fisler;C.;1;1
a96539bd-3ab1-4e74-80f8-78737e286ef0;96;tiatscha.jpg;2005-11-03;Stadler;M.;1;1
a45bc2ea-844f-4176-bb90-6e9d5a2e67d4;66;tiefen.jpg;2010-07-10;Usselmann;S.;1;1
bdc5ca60-1875-4e7f-9dc7-4594ee1c8b2c;43;trient.jpg;2004-07-04;Ehinger;J.;1;1
b851c2d1-016d-4514-96a8-d121cabef31f;55;trift.jpg;2003-09-25;Funk-Salamí;F.;1;1
b5877748-eb1d-4864-999f-6a7496a36878;33;tsanfleuron.jpg;2011-09-24;Stoebner;P.;1;1
cd5378f7-210c-4a90-877c-fe3522dab2ce;93;tschierva.jpg;2007-09-13;Bott;G.;1;1
69ea545b-8668-4a7d-9d67-70f9966b7284;60;tschingel.jpg;2001-08-24;LUFTBILD SCHWEIZ;NULL;1;1
6eb64c3c-cee0-45e1-98b9-eb5341610bc3;28;tsidjiore.jpg;2011-09-29;Pralong;F.;1;1
13ef0916-de9c-41c2-ba5e-c43bcf6f3e39;19;turtmann.jpg;2004-07-21;Funk;M.;1;1
9c37f8dd-c891-4816-a0a3-b11151504a0a;51;unteraar.jpg;2005-08-09;Funk;M.;1;1
31569d2f-e67b-4a3d-b633-dd8de3306024;58;untgrindelwald.jpg;2004-07-21;Funk;M.;1;1
590df16f-5c70-41b9-a0b0-34d4069b6bae;117;valleggia.jpg;2011-09-07;Valeggia;C.;1;1
871ecd1d-7099-4705-85cf-8392f2acaae9;39;valsorey.jpg;1993-09-12;Guex;O.;1;1
c14bb0ec-d10a-4012-b8ef-8e1b6732c02c;118;valtorta.jpg;2011-09-06;Valeggia;C.;1;1
e6d7b8cd-86e4-4951-a436-af19d1586e5d;89;verstankla.jpg;2009-09-01;Maïkoff;M.;1;1
327daa5b-25ba-4bf2-bfc7-d9a765096ead;71;wallenbur.jpg;2001-10-16;Kläger;P.;1;1
e90df406-293b-4e9d-866c-5b5a7dbd4e86;22;zinal.jpg;2004-10-04;Kappeler;St.;1;1
d7d9f186-e33a-42ac-bb2e-037660c97b5a;15;zmutt.jpg;2004-07-21;Funk;M.;1;1
