pk_vaw;short_name;name;river_level_3;river_level_2;river_level_1;river_level_0;inventory_number;pk
138;kartigel;Kartigelfirn;A;5;1;f;32;85B88920-D58C-11E6-AC65-6805CA3E30C8
139;schlossberg;Glatt Firn;A;5;1;g;5;85B8B02E-D58C-11E6-B24F-6805CA3E30C8
140;firnalpeliwest;Firnalpeligletscher (West);A;5;1;h;14;85B8B02F-D58C-11E6-9782-6805CA3E30C8
141;clariden;Claridenfirn;A;5;0;i;19;85B8D740-D58C-11E6-98F5-6805CA3E30C8
142;segnes;Glatschiu dil Segnas;A;1;4;p;3;85B8D741-D58C-11E6-B348-6805CA3E30C8
143;zapport;Zapportgletscher;A;1;3;n;4;85B8D742-D58C-11E6-9627-6805CA3E30C8
144;tambo;Tambogletscher;A;1;3;k;3;85B8FE4F-D58C-11E6-9B2E-6805CA3E30C8
145;uertsch;Üertsch;A;1;2;e;7;85B8FE50-D58C-11E6-807A-6805CA3E30C8
146;err;Err (Nord);A;1;2;i;3;85B9255E-D58C-11E6-B1D6-6805CA3E30C8
147;schwarzhorn;Schwarzhorngletscher;E;4;6;;3;85B9255F-D58C-11E6-BD84-6805CA3E30C8
148;joeri;Jörigletscher;A;1;0;g;18;85B92560-D58C-11E6-9635-6805CA3E30C8
149;fex;Vadret da Fex;E;2;5;;6;85B94C70-D58C-11E6-9954-6805CA3E30C8
150;agnel;Vadret d' Agnel;E;3;5;;15;85B94C71-D58C-11E6-91BA-6805CA3E30C8
151;laviner;Vadret Laviner;E;3;5;;23;85B97380-D58C-11E6-A509-6805CA3E30C8
152;cantun;Vadrec dal Cantun;C;8;4;;9;85B97381-D58C-11E6-9CDA-6805CA3E30C8
153;rotondo;Ghiacciaio del Pizzo Rotondo;C;3;5;;3;85B97382-D58C-11E6-B316-6805CA3E30C8
154;mucia;Ghiacciaio de Mucia;C;5;3;;3;85B99A8F-D58C-11E6-8A6D-6805CA3E30C8
155;sassonero;Sasso Nero;C;1;5;;1;85B99A90-D58C-11E6-893B-6805CA3E30C8
156;hohbalm;Hohbalmgletscher;B;5;3;;7;85B99A91-D58C-11E6-8AD0-6805CA3E30C8
157;sonadon;Glacier du Sonadon;B;8;4;;11;85B9C1A1-D58C-11E6-B88C-6805CA3E30C8
158;petitvelan;Petit Vélan;B;8;4;;18;85B9C1A2-D58C-11E6-B3AA-6805CA3E30C8
159;petoudes;Glacier des Petoudes;B;9;0;;6;85B9E8B0-D58C-11E6-B3D7-6805CA3E30C8
160;ross;Rossfirn;A;5;1;f;52;85B9E8B1-D58C-11E6-A34A-6805CA3E30C8
171;driest;Driestgletscher;B;3;6;;17;85B9E8B2-D58C-11E6-9617-6805CA3E30C8
173;seewjinen;Seewjinen Gletscher;B;5;2;;22;85BA0FC0-D58C-11E6-B23D-6805CA3E30C8
174;hohlaub;Hohlaubgletscher;B;5;2;;32;85BA0FC1-D58C-11E6-9517-6805CA3E30C8
180;furgg;Furgggletscher;B;5;6;;31;85BA36D1-D58C-11E6-BB7E-6805CA3E30C8
181;theodul;Oberer Theodulgletscher;B;5;6;;30;85BA36D2-D58C-11E6-8B21-6805CA3E30C8
190;baltschieder;Baltschiedergletscher;B;3;4;;6;85BA36D3-D58C-11E6-94DF-6805CA3E30C8
200;weisshorn;Glacier du Weisshorn;B;6;2;;7;85BA5DE1-D58C-11E6-A11E-6805CA3E30C8
205;arollahaut;Haut Glacier d' Arolla;B;7;3;;12;85BA5DE2-D58C-11E6-ABC9-6805CA3E30C8
220;dolent;Glacier du Dolent;B;8;5;;4;85BA84F0-D58C-11E6-B95C-6805CA3E30C8
228;grueben;Gruebengletscher;A;5;4;h;4;85BA84F1-D58C-11E6-93FA-6805CA3E30C8
312;Corvatsch;Vadret dal Corvatsch;E;2;3;;18;85BA84F2-D58C-11E6-B247-6805CA3E30C8
352;croslina;Ghiacciaio Grande di Croslina;C;3;2;;2;85BAAC00-D58C-11E6-9C14-6805CA3E30C8
353;camadra;Vadrecc di Camadra;C;4;2;;2;85BAAC01-D58C-11E6-B69E-6805CA3E30C8
354;gruebu;Grüebugletscher;B;5;1;;5;85BAD30F-D58C-11E6-9E44-6805CA3E30C8
176;fall;Fallgletscher;B;5;3;;6;85BAD310-D58C-11E6-8F86-6805CA3E30C8
177;bider;Bidergletscher;B;5;3;;8;85BAD311-D58C-11E6-BBA7-6805CA3E30C8
179;balfrin;Balfringletscher;B;5;3;;11;85BAFA1E-D58C-11E6-B140-6805CA3E30C8
196;oberferden;Oberferdengletscher;B;3;0;;2;85BAFA1F-D58C-11E6-B118-6805CA3E30C8
360;ferden;Ferdengletscher;B;3;0;;4;85BB212E-D58C-11E6-A049-6805CA3E30C8
195;milibach;Milibachgletscher;B;3;0;;5;85BB212F-D58C-11E6-A7F9-6805CA3E30C8
193;tellin;Tellingletscher;B;3;0;;6;85BB2130-D58C-11E6-8A5F-6805CA3E30C8
194;nest;Nestgletscher;B;3;2;;7;85BB4840-D58C-11E6-BD73-6805CA3E30C8
358;birch;Birchgletscher;B;3;2;;6;85BB4841-D58C-11E6-BB9B-6805CA3E30C8
357;stampbach;Stampbachgletscher;B;3;2;;5;85BB6F4F-D58C-11E6-B5CD-6805CA3E30C8
356;oigstchummun;Oigstchummungletscher;B;3;2;;3;85BB6F50-D58C-11E6-A5F9-6805CA3E30C8
355;loibinbach;Loibinbachgletscher;B;3;2;;2;85BB965E-D58C-11E6-A517-6805CA3E30C8
192;dischlig;Dischliggletscher;B;3;1;;12;85BB965F-D58C-11E6-8A84-6805CA3E30C8
364;gamsa;Gamsagletscher;B;5;0;;2;85BB9660-D58C-11E6-B2BA-6805CA3E30C8
365;ustelli;Unterer Stelligletscher;B;5;8;;15;85BBBD70-D58C-11E6-B37E-6805CA3E30C8
362;rotblatt;Rotblattgletscher;B;5;2;;5;85BBBD71-D58C-11E6-8008-6805CA3E30C8
363;furggen;Furggengletscher;B;5;2;;11;85BBE480-D58C-11E6-8081-6805CA3E30C8
188;festi;Festigletscher;B;5;5;;7;85BBE481-D58C-11E6-9001-6805CA3E30C8
361;kin;Kingletscher;B;5;5;;8;85BBE482-D58C-11E6-9A00-6805CA3E30C8
183;alphubel;Alphubelgletscher;B;5;5;;16;85BC0B8F-D58C-11E6-8699-6805CA3E30C8
185;weingarten;Weingartengletscher;B;5;5;;12;85BC0B90-D58C-11E6-A9E1-6805CA3E30C8
367;misaun;Vadret da Misaun;E;2;3;;3;85BC329E-D58C-11E6-958B-6805CA3E30C8
252;mutten;Muttengletscher;A;5;1;e;23;85C1FF01-D58C-11E6-9C7E-6805CA3E30C8
221;planreuses;Glacier des Planreuses;B;8;5;;13;85C55A62-D58C-11E6-BEBC-6805CA3E30C8
368;titlis;Titlisgletscher;A;5;1;h;15;85C55A63-D58C-11E6-81A5-6805CA3E30C8
369;wenden;Wendengletscher;A;5;4;e;6;85C58171-D58C-11E6-909B-6805CA3E30C8
164;minstiger;Minstigergletscher;B;4;1;;7;85C5A880-D58C-11E6-883D-6805CA3E30C8
247;balmhorn;Balmhorngletscher;A;5;5;b;18;85C5A881-D58C-11E6-A2A8-6805CA3E30C8
370;gutz;Gutzgletscher;A;5;4;l;2;85C5A882-D58C-11E6-B7B6-6805CA3E30C8
249;altels;Altels;A;5;5;c;3;85C5CF91-D58C-11E6-92DB-6805CA3E30C8
371;sillere;Sillere Gletscher;A;5;5;b;11;85C5CF92-D58C-11E6-ABE4-6805CA3E30C8
248;rinderhorn;Rinderhorn;A;5;5;c;7;85C5F6A1-D58C-11E6-B0FC-6805CA3E30C8
243;rottal;Rottal-/Stuefesteigletscher;A;5;4;m;12;85C5F6A2-D58C-11E6-93CF-6805CA3E30C8
238;guggi;Guggigletscher;A;5;4;m;5;85C5F6A3-D58C-11E6-A11B-6805CA3E30C8
240;giesen;Giesengletscher;A;5;4;m;6;85C61DB0-D58C-11E6-B75A-6805CA3E30C8
239;breitlouwenen;Breitlouwenengletscher;A;5;4;m;13;85C61DB1-D58C-11E6-AC7A-6805CA3E30C8
242;schmadri;Schmadrigletscher;A;5;4;m;15;85C644C0-D58C-11E6-AFBF-6805CA3E30C8
241;breithorn;Breithorngletscher;A;5;4;m;19;85C644C1-D58C-11E6-9B18-6805CA3E30C8
328;vallorgia;Vadret Vallorgia;E;4;2;;10;85C66BCF-D58C-11E6-81AF-6805CA3E30C8
372;scalettawest;Vadret Scaletta;E;4;2;;8;85C66BD0-D58C-11E6-B33D-6805CA3E30C8
335;grialetsch;Vadret da Grialetsch;E;4;5;;8;85C692DE-D58C-11E6-9A8A-6805CA3E30C8
214;fenetre;Glacier de Fenêtre;B;8;2;;34;86617353-D58C-11E6-9C19-6805CA3E30C8
212;epicoune;Glacier d' Epicoune;B;8;2;;30;86619A5E-D58C-11E6-BC00-6805CA3E30C8
373;petitcombin;Glacier du Petit Combin;B;8;3;;9;86619A5F-D58C-11E6-8454-6805CA3E30C8
374;lirerose;Glacier de Lire Rose;B;8;2;;16;8661C16E-D58C-11E6-B638-6805CA3E30C8
178;lagginhorn;Lagginhorngletscher;B;5;1;;10;8661C16F-D58C-11E6-A667-6805CA3E30C8
184;mellich;Mellichgletscher;B;5;5;;18;8661C170-D58C-11E6-8BEB-6805CA3E30C8
189;hohberg;Hohberggletscher;B;5;5;;4;8661E880-D58C-11E6-9F5F-6805CA3E30C8
191;anen;Anungletscher;B;3;1;;4;8661E881-D58C-11E6-88B8-6805CA3E30C8
213;creteseche;Glacier de Crête Sèche;B;8;2;;33;8661E882-D58C-11E6-A9DD-6805CA3E30C8
215;tsesette;Glacier de la Tsesette;B;8;2;;41;86620F8F-D58C-11E6-A62A-6805CA3E30C8
216;bocheresse;Glacier de Bocheresse;B;8;2;;45;86620F90-D58C-11E6-878C-6805CA3E30C8
217;tournelonblanc;Tournelon Blanc;B;8;2;;44;8662369E-D58C-11E6-808F-6805CA3E30C8
359;hangende;Hangende Gletscher;B;3;2;;8;8662369F-D58C-11E6-AD98-6805CA3E30C8
366;ostelli;Obere Stelligletscher;B;5;8;;16;866236A0-D58C-11E6-9EC3-6805CA3E30C8
